Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786970746,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786970747,400,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786970748,600,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1786970749,800,,Aggregated,0.000000,0.000000,2400,2500,2600,2700,2800,2900,3100,3100,3100,3100,3100,83,0,2400,2418.373884337236,265.80219995230436,3067.8635999793187,268.51807228915663
1786970750,1000,,Aggregated,0.000000,0.000000,2500,2900,3200,3400,3800,4200,4200,4200,4200,4200,4200,150,0,2500,2497.4933539979006,265.80219995230436,4190.529500017874,273.47333333333336
1786970751,1200,,Aggregated,0.000000,0.000000,2500,3200,3600,3900,4200,4600,4800,5000,5100,5100,5100,214,0,2500,2586.5775341109293,265.80219995230436,5063.202599994838,268.66355140186914
1786970752,1400,,Aggregated,22.250000,0.000000,2700,3700,4200,4300,4800,5100,5300,5700,6200,6200,6200,286,15,2700,2836.7599031462178,265.80219995230436,6242.30169999646,250.72027972027973
1786970753,1500,,Aggregated,31.000000,0.000000,4300,4300,4300,4300,4700,5300,6100,6300,7100,7100,7100,531,204,4300,3425.7958335202343,265.80219995230436,7132.473699981347,160.58757062146893
1786970754,1500,,Aggregated,36.666667,0.000000,4300,4300,4300,4300,5300,6400,7100,7300,7800,7800,7800,665,243,4300,3549.642773532603,265.80219995230436,7776.945999998134,165.14285714285714
1786970755,1500,,Aggregated,42.285714,3.571429,4300,4300,4300,4300,5300,6900,7600,7800,8800,9200,9200,1108,596,4300,3866.6433727427366,265.80219995230436,9160.568799998146,120.10469314079423
1786970756,1500,,Aggregated,67.375000,26.500000,4300,4300,4300,4300,6100,7300,8200,8900,9600,10000,10000,1165,596,4300,3943.8614986257876,265.80219995230436,10038.21039997274,124.48669527896996
1786970757,1500,,Aggregated,74.666667,27.777778,4300,4300,4300,4300,6100,7500,8300,9100,10000,11000,11000,1607,953,4300,4082.660610889108,265.80219995230436,11165.99710000446,103.51275668948351
1786970759,1500,,Aggregated,116.500000,59.600000,4300,4300,4300,4300,6600,7800,9100,9800,11000,11000,11000,1711,989,4300,4163.5515314429595,265.80219995230436,11270.31849999912,107.41496201052017
1786970760,1500,,Aggregated,116.500000,59.600000,4200,4300,4300,4300,6800,8100,9600,10000,12000,12000,12000,1891,1110,4200,4213.0850151236145,265.80219995230436,12265.571800002363,104.53516657852988
